transaction_id,parent,parent_type,child,child_type,rel_type,date,
transaction_id,parent,parent_type,child,child_type,rel_type,date,description
2412/08_tr_192,"Minister of Education, Higher Education and Vocational Education",minister,University of Vocational Technology,minister,minister,2024-11-25,
2412/08_tr_193,"Minister of Education, Higher Education and Vocational Education",minister,National Institute of Fisheries and Nautical Engineering (Ocean University),minister,minister,2024-11-25,
2412/08_tr_194,"Minister of Education, Higher Education and Vocational Education",minister,Vocational Training Authority of Sri Lanka,minister,minister,2024-11-25,
2412/08_tr_195,"Minister of Education, Higher Education and Vocational Education",minister,National Apprenticeship and Industrial Training Authority,minister,minister,2024-11-25,
2412/08_tr_196,"Minister of Education, Higher Education and Vocational Education",minister,Ceylon German Technical Training Institute,minister,minister,2024-11-25,
2412/08_tr_197,"Minister of Education, Higher Education and Vocational Education",minister,Department of Technical Education and Training,minister,minister,2024-11-25,
2412/08_tr_198,"Minister of Education, Higher Education and Vocational Education",minister,Tertiary and Vocational Education Commission,minister,minister,2024-11-25,
2412/08_tr_199,"Minister of Education, Higher Education and Vocational Education",minister,University Grants Commission,minister,minister,2024-11-25,
2412/08_tr_200,"Minister of Education, Higher Education and Vocational Education",minister,"All State Universities, Postgraduate Institutions and other Institutions under the purview of University Grants Commission",minister,minister,2024-11-25,
2412/08_tr_201,"Minister of Education, Higher Education and Vocational Education",minister,Buddhasravaka Bhikku University,minister,minister,2024-11-25,
2412/08_tr_202,"Minister of Education, Higher Education and Vocational Education",minister,Buddhist and Pali University of Sri Lanka,minister,minister,2024-11-25,
2412/08_tr_203,"Minister of Education, Higher Education and Vocational Education",minister,Sri Lanka Institute of Advanced Technological Education,minister,minister,2024-11-25,
2412/08_tr_204,"Minister of Education, Higher Education and Vocational Education",minister,South Asian Centre for Teacher Development (SACTD),minister,minister,2024-11-25,
2412/08_tr_205,Minister of Women and Child Affairs,minister,National Committee on Women,minister,minister,2024-11-25,
2412/08_tr_206,Minister of Women and Child Affairs,minister,Sri Lanka Women’s Bureau,minister,minister,2024-11-25,
